id,x,y
5,120.6473289,31.41498094
5,120.6473019,31.41499493
5,120.6472748,31.4150088
5,120.6472479,31.4150229
5,120.647221,31.41503702
5,120.6471941,31.41505112
5,120.6471671,31.41506525
5,120.6471402,31.41507937
5,120.6471133,31.41509353
5,120.6470864,31.41510765
5,120.6470595,31.41512173
5,120.6470328,31.41513611
5,120.647006,31.41515045
5,120.6469789,31.41516435
5,120.6469522,31.4151786
5,120.6469251,31.41519241
5,120.6468983,31.4152066
5,120.6468712,31.41522056
5,120.6468444,31.41523472
5,120.6468174,31.41524885
5,120.6467904,31.41526283
5,120.6467635,31.41527692
5,120.6467366,31.41529106
5,120.6467097,31.41530517
5,120.6466828,31.41531925
6,120.6483166,31.41441998
6,120.6482915,31.4144364
6,120.6482663,31.41445269
6,120.6482405,31.41446829
6,120.6482143,31.41448338
6,120.648188,31.41449829
6,120.6481616,31.41451311
6,120.648135,31.41452751
6,120.6481079,31.41454168
6,120.6480808,31.41455618
6,120.6480547,31.41456933
6,120.6480278,31.41458357
6,120.6479994,31.41459834
6,120.6479738,31.41461103
6,120.6479461,31.41462442
6,120.6479198,31.41463903
6,120.6478927,31.41465219
6,120.6478663,31.41466678
6,120.647839,31.41468033
6,120.6478121,31.41469453
6,120.647785,31.41470836
6,120.6477581,31.41472248
6,120.647731,31.41473625
6,120.6477042,31.41475055
6,120.6476768,31.41476389
6,120.6476498,31.4147779
6,120.6476225,31.4147915
6,120.647595,31.41480471
7,120.648247,31.4144283
7,120.6482207,31.41444322
7,120.6481944,31.41445816
7,120.6481679,31.41447288
7,120.6481413,31.41448735
7,120.6481146,31.4145018
7,120.6480879,31.4145162
7,120.648061,31.41453041
7,120.6480342,31.41454457
7,120.6480074,31.41455881
7,120.6479804,31.41457279
7,120.6479532,31.41458649
7,120.647926,31.41460023
7,120.6478992,31.41461452
7,120.6478721,31.41462812
7,120.6478454,31.41464258
7,120.6478182,31.41465615
7,120.6477913,31.41467035
7,120.6477644,31.41468453
7,120.6477373,31.41469815
7,120.6477107,31.41471254
7,120.6476834,31.41472616
7,120.6476564,31.41474017
7,120.6476288,31.41475318
7,120.6476014,31.41476657
7,120.6475751,31.41478152
8,120.6475409,31.41481035
8,120.6475132,31.4148233
8,120.6474855,31.41483631
8,120.6474581,31.41484966
8,120.6474308,31.41486326
8,120.6474036,31.41487697
8,120.6473764,31.41489072
8,120.6473494,31.41490458
8,120.6473223,31.41491851
